flame,dataset\images\flame\0005_F0004.jpg,0.556641,0.329861,0.146094,0.220833
flame,dataset\images\flame\0005_F0005.jpg,0.546484,0.339583,0.158594,0.223611
flame,dataset\images\flame\0005_F0006.jpg,0.536719,0.338889,0.148438,0.252778
flame,dataset\images\flame\0005_F0007.jpg,0.535156,0.347222,0.150000,0.250000
flame,dataset\images\flame\0005_F0008.jpg,0.544922,0.356944,0.147656,0.269444
flame,dataset\images\flame\0005_F0009.jpg,0.566406,0.369444,0.168750,0.300000
flame,dataset\images\flame\0005_F0010.jpg,0.576563,0.356944,0.162500,0.302778
flame,dataset\images\flame\0005_F0011.jpg,0.570312,0.351389,0.187500,0.316667
flame,dataset\images\flame\0005_F0012.jpg,0.550781,0.365278,0.175000,0.325000
flame,dataset\images\flame\0005_F0013.jpg,0.560547,0.352778,0.167969,0.319444
flame,dataset\images\flame\0005_F0014.jpg,0.557031,0.404167,0.145313,0.244444
flame,dataset\images\flame\0005_F0015.jpg,0.557422,0.424306,0.147656,0.220833
flame,dataset\images\flame\0005_F0016.jpg,0.560156,0.425694,0.146875,0.237500
flame,dataset\images\flame\0005_F0017.jpg,0.561719,0.425000,0.145313,0.258333
flame,dataset\images\flame\0005_F0018.jpg,0.568750,0.416667,0.139062,0.258333
flame,dataset\images\flame\0005_F0019.jpg,0.569531,0.406944,0.145313,0.286111
flame,dataset\images\flame\0005_F0020.jpg,0.568750,0.419444,0.146875,0.261111
flame,dataset\images\flame\0005_F0021.jpg,0.557031,0.430556,0.137500,0.222222
flame,dataset\images\flame\0005_F0022.jpg,0.557813,0.433333,0.135937,0.238889
flame,dataset\images\flame\0005_F0023.jpg,0.559766,0.429167,0.139844,0.230556
flame,dataset\images\flame\0005_F0024.jpg,0.562109,0.431944,0.124219,0.225000
flame,dataset\images\flame\0005_F0025.jpg,0.557422,0.416667,0.127344,0.222222
flame,dataset\images\flame\0005_F0026.jpg,0.555469,0.420833,0.131250,0.213889
flame,dataset\images\flame\0005_F0027.jpg,0.553516,0.424306,0.128906,0.231944
flame,dataset\images\flame\0005_F0028.jpg,0.550000,0.430556,0.135937,0.219444
flame,dataset\images\flame\0005_F0029.jpg,0.549219,0.413889,0.140625,0.261111
flame,dataset\images\flame\0005_F0030.jpg,0.551562,0.403472,0.139062,0.276389
flame,dataset\images\flame\0005_F0031.jpg,0.549219,0.405556,0.134375,0.280556
flame,dataset\images\flame\0005_F0032.jpg,0.542969,0.416667,0.146875,0.258333
